id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASVF_366	308	0.00232558139534884	33.8297643975338	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lindgomycetaceae	g__Clohesyomyces	s__aquaticus
ASVF_367	281	0.00218818380743982	26.1567262892198	k__Fungi	NA	NA	NA	NA	NA	NA
ASVF_37	309	0.00233100233100233	30.6826457318962	k__Fungi	NA	NA	NA	NA	NA	NA
ASVF_370	297	0.00226757369614512	24.434638015768	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Cunninghamellaceae	g__Cunninghamella	s__elegans
ASVF_371	312	0.00234741784037559	32.7077784370949	k__Fungi	NA	NA	NA	NA	NA	NA
ASVF_372	307	0.00232018561484919	32.4070774299268	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__exigua
ASVF_373	232	0.00197628458498024	19.8877570089996	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Curvularia	s__lunata
ASVF_375	303	0.00229885057471264	26.4756852300341	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA
ASVF_377	289	0.0022271714922049	31.3691197055277	k__Fungi	p__Chytridiomycota	NA	NA	NA	NA	NA
ASVF_38	344	0.00253807106598985	38.5787723775168	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Pseudaleuria	NA
ASVF_380	319	0.00238663484486874	34.3368805903441	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASVF_381	330	0.00245098039215686	30.0118082685449	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Articulospora	NA
ASVF_382	331	0.00245700245700246	29.2921914542575	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Leohumicola	NA
ASVF_383	315	0.00236406619385343	33.0094271657809	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lindgomycetaceae	g__Clohesyomyces	s__aquaticus
ASVF_385	334	0.00247524752475248	33.0627009037471	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	NA
ASVF_386	312	0.00234741784037559	32.8628102533665	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASVF_387	224	0.00194552529182879	17.6805690645518	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__metachromatica
ASVF_389	265	0.00211416490486258	25.8380957929384	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Heteroconium	NA
ASVF_393	315	0.00236406619385343	31.2996071308211	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Udeniozyma	s__ferulica
ASVF_395	331	0.00245700245700246	28.5850044667422	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__chlamydosporigena
ASVF_4	332	0.00246305418719212	35.5667431709255	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	s__sayulitensis
ASVF_40	290	0.00223214285714286	27.5979704624502	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Mycosphaerella	s__tassiana
ASVF_41	322	0.00240384615384615	33.8356862294503	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	s__podzolica
ASVF_412	313	0.00235294117647059	28.5662505774735	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASVF_414	310	0.00233644859813084	29.106541701593	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__gamsii
ASVF_416	254	0.00206611570247934	22.5492572457456	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	s__cucumerina
ASVF_417	309	0.00233100233100233	33.0845490367436	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiaceae	g__Myrmecridium	s__schulzeri
ASVF_42	324	0.00241545893719807	34.5822189716353	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	NA	NA
ASVF_420	335	0.00248138957816377	30.1794959427117	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Herpotrichia	s__juniperi
ASVF_422	330	0.00245098039215686	35.3131773873129	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__elongata
ASVF_423	331	0.00245700245700246	28.7704532402613	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASVF_424	278	0.00217391304347826	24.8255931946019	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	g__Ustilago	s__maydis
ASVF_429	293	0.00224719101123596	30.671170772992	k__Fungi	p__Basidiomycota	c__Tremellomycetes	NA	NA	NA	NA
ASVF_43	307	0.00232018561484919	30.0242465609443	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	NA
ASVF_432	334	0.00247524752475248	30.5397813615951	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Plenodomus	s__biglobosus
ASVF_433	336	0.00248756218905473	30.3148094287518	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__tsunedae
ASVF_434	331	0.00245700245700246	32.3953783316822	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASVF_439	328	0.0024390243902439	29.5126431225647	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Thelebolaceae	g__Thelebolus	s__spongiae
ASVF_44	316	0.0023696682464455	30.7316120387003	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	NA	NA
ASVF_441	288	0.00222222222222222	28.0719408288883	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Cyberlindnera	NA
ASVF_445	327	0.0024330900243309	33.310613724958	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__tephrensis
ASVF_449	331	0.00245700245700246	29.4722271312453	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASVF_45	315	0.00236406619385343	32.6435644229054	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__equina
ASVF_451	303	0.00229885057471264	30.3158379682906	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Coleophoma	NA
ASVF_452	325	0.00242130750605327	32.2603320918949	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Aureobasidiaceae	g__Aureobasidium	s__pullulans
ASVF_46	278	0.00217391304347826	27.7299258021352	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	NA
ASVF_460	306	0.00231481481481481	25.3674153224677	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Gibberella	s__tricincta
ASVF_461	323	0.00240963855421687	28.7026299120489	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Tausonia	s__pullulans
ASVF_465	262	0.00210084033613445	21.6534140336433	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascobolaceae	g__Ascobolus	NA
ASVF_467	276	0.00216450216450216	26.8723955721331	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Dictyosporiaceae	g__Dictyosporium	s__elegans
ASVF_468	329	0.00244498777506112	29.0590083439739	k__Fungi	NA	NA	NA	NA	NA	NA
ASVF_469	337	0.00249376558603491	33.8936976377749	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	NA	NA
ASVF_47	324	0.00241545893719807	34.7564130548872	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Setophoma	s__terrestris
ASVF_473	335	0.00248138957816377	32.1887617210195	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	s__podzolica
ASVF_48	325	0.00242130750605327	32.5345950067777	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum
ASVF_480	332	0.00246305418719212	29.8195350990793	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Preussia	NA
ASVF_481	323	0.00240963855421687	25.8952143450168	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
ASVF_482	334	0.00247524752475248	29.4278614985207	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Ophiosphaerella	NA
ASVF_483	273	0.0021505376344086	21.7160687039573	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__GS07	NA	NA	NA
ASVF_49	333	0.00246913580246914	35.6323910260754	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__terricola
ASVF_494	277	0.00216919739696312	24.8304950493284	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Podospora	NA
ASVF_5	326	0.00242718446601942	35.3663715463375	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASVF_50	310	0.00233644859813084	32.6479169335408	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Drechslera	NA
ASVF_504	327	0.0024330900243309	27.9478148167461	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__concentricum
ASVF_51	335	0.00248138957816377	38.1245685887578	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	NA	NA
ASVF_519	323	0.00240963855421687	28.6163090523795	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Cadophora	s__luteo-olivacea
ASVF_52	332	0.00246305418719212	32.2109899800635	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Gibberella	s__zeae
ASVF_522	328	0.0024390243902439	28.7084168067935	k__Fungi	p__Rozellomycota	NA	NA	NA	NA	NA
ASVF_529	332	0.00246305418719212	29.186092606909	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASVF_53	285	0.0022075055187638	27.7316108125905	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaetopsis	s__leptospora
ASVF_530	335	0.00248138957816377	30.0048729917854	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Rutstroemiaceae	NA	NA
ASVF_54	314	0.00235849056603774	28.8664350614422	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Minimedusa	s__polyspora
ASVF_55	319	0.00238663484486874	33.2713783580582	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Hymenoscyphus	s__menthae
ASVF_550	286	0.00221238938053097	23.6864532052368	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Podospora	NA
ASVF_56	298	0.00227272727272727	30.0933857116565	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum
ASVF_563	327	0.0024330900243309	26.9405901815002	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremataceae	g__Papiliotrema	s__terrestris
ASVF_568	334	0.00247524752475248	31.5851962332334	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__ciliifera
