Group	Accu_BS	Accu_PM	Accu_Diff	Avg_BS	Avg_PM	Diff	P_value	FDR	Cluster_size	Color	FC
12	1087.44106986913	645.668469439924	441.772600429204	0.998568475545572	0.592900339246946	0.405668136298626	0	0	19	12	0.684209654549824
5	1087.05613460119	685.660224235779	401.395910365409	0.998214999633781	0.629623713715133	0.368591285918649	0	0	13	5	0.585415189881831
68	594	215.117713948392	378.882286051608	0.545454545454545	0.197536927408991	0.347917618045554	7.25298653319289e-64	1.02305283731352e-63	3	68	1.76127887888631
2	1085.20930700839	709.653730695683	375.55557631271	0.99651910652745	0.651656318361509	0.344862788165941	0	0	15	2	0.5292096131793
1	1077.99108836971	715.997913124191	361.993175245523	0.989890806583759	0.657482013888146	0.332408792695614	0	0	13	1	0.505578533973652
18	1078.35590025602	723.223302729225	355.132597526799	0.99022580372454	0.664116898741253	0.326108904983287	0	0	30	18	0.49104141996896
39	1084.93366625636	731.759596356077	353.174069900282	0.996265992889219	0.671955552209437	0.324310440679782	0	0	30	39	0.482636745263026
56	1083.40932125499	751.620174243135	331.789147011853	0.994866227047739	0.690192997468444	0.304673229579296	0	0	49	56	0.44143193381678
9	1076.39057191707	767.095039531475	309.295532385596	0.988421094506034	0.704403158431107	0.284017936074927	0	0	22	9	0.403203666359916
17	1075.7404222593	772.928165271904	302.812256987397	0.987824079209643	0.709759564069701	0.278064515139942	0	0	10	17	0.391772832965496
43	1081.57825835733	782.794742432366	298.783515924964	0.993184810245482	0.718819781847902	0.274365028397579	0	0	4	43	0.381688199637825
20	1083.04742163058	791.487824939935	291.559596690648	0.994533904160315	0.726802410413164	0.267731493747151	0	0	52	20	0.368369022875081
36	1085.49838796822	800.100251032839	285.398136935385	0.996784561954292	0.734710974318493	0.262073587635799	0	0	28	36	0.356702971367611
101	1073.29035891933	794.88239077873	278.407968140597	0.985574250614626	0.729919550761001	0.255654699853625	0	0	52	101	0.35025051676871
10	1080.98522838056	803.685056724969	277.300171655593	0.992640246446797	0.738002806909981	0.254637439536816	0	0	16	10	0.345035868634407
19	1081.48349841594	809.558480696493	271.925017719448	0.993097794688651	0.743396217352151	0.2497015773365	0	0	16	19	0.335892988836954
6	1078.93748968678	809.205528993211	269.731960693566	0.990759861971329	0.743072111104877	0.247687750866452	0	0	29	6	0.333329359512853
25	1085.35699042812	826.442653362334	258.914337065788	0.996654720319671	0.758900508138048	0.237754212181623	0	0	53	25	0.313287723004626
26	1086.59128203634	833.815497901619	252.775784134722	0.997788137774418	0.765670796971183	0.232117340803234	0	0	46	26	0.30315553593194
60	1084.02270068715	833.190363937865	250.832336749289	0.995429477215017	0.765096752927332	0.230332724287685	0	0	20	60	0.301050453300723
7	1085.36389219655	837.334499382915	248.029392813632	0.996661058031724	0.768902203290097	0.227758854741627	0	0	6	7	0.296213034332659
47	1057.53281668907	811.96117830596	245.571638383111	0.971104514865996	0.745602551245142	0.225501963620855	0	0	16	47	0.302442585857935
41	1073.40528995759	834.647647541119	238.757642416474	0.985679788758121	0.766434938054287	0.219244850703833	0	0	19	41	0.286058006776702
35	1069.79749283282	835.014393556325	234.7830992765	0.982366843739967	0.76677171125466	0.215595132485307	0	0	22	35	0.281172517609617
