Group	Accu_BS	Accu_PM	Accu_Diff	Avg_BS	Avg_PM	Diff	P_value	FDR	Cluster_size	Color	FC
120	1090.53284068056	858.521955296848	232.01088538371	1.00140756719978	0.788358085672037	0.213049481527742	0	0	3	120	0.27024455688322
29	1073.38379510645	845.067972872548	228.315822233901	0.985660050602799	0.776003648184157	0.209656402418641	0	0	20	29	0.270174506149857
30	1087.57515038384	860.545048100866	227.03010228297	0.99869159814861	0.790215838476461	0.208475759672149	0	0	34	30	0.263821287199319
24	1074.76051421781	847.824674451141	226.935839766668	0.986924255480082	0.778535054592416	0.208389200887666	0	0	35	24	0.267668359514991
15	1079.20301892495	857.30670549725	221.896313427695	0.991003690472861	0.78724215380831	0.20376153666455	0	0	21	15	0.258829555402804
23	1077.62653204071	857.805181388116	219.821350652597	0.989556044114521	0.787699891081833	0.201856153032688	0	0	15	23	0.256260227172886
64	1080.59689410708	864.321469550881	216.275424556195	0.992283649317793	0.793683626768486	0.198600022549307	0	0	25	64	0.250225676643872
99	1023	821.673766932797	201.326233067203	0.939393939393939	0.7545213654112	0.184872573982739	1.58778271080368e-87	2.33805366206256e-87	4	99	0.245019667378122
67	1084.33115212848	883.270271523172	201.060880605303	0.995712720044514	0.811083812234318	0.184628907810196	0	0	35	67	0.227632342090015
51	1086.74497669039	886.185405080127	200.559571610264	0.997929271524694	0.813760702552918	0.184168568971776	0	0	37	51	0.226317845521423
85	1086.99357534842	890.256055369821	196.737519978599	0.99815755312068	0.817498673434179	0.180658879686501	0	0	33	85	0.220989813876495
57	1081.54215958144	885.189770257435	196.352389324003	0.993151661690944	0.812846437334652	0.180305224356293	0	0	7	57	0.221819541889755
84	1080.60233117766	886.777590098464	193.824741079193	0.992288642036417	0.814304490448544	0.177984151587873	0	0	6	84	0.21857198833551
31	1083.49402252628	891.73458959548	191.759432930798	0.994944005992908	0.81885637244764	0.176087633545269	0	0	15	31	0.215040927163973
110	1088.59898123924	899.344884462298	189.254096776945	0.999631755040627	0.825844705658676	0.173787049381951	0	0	12	110	0.210435507052554
86	997.035239744431	808.552451912533	188.482787831898	0.91555118433832	0.74247240763318	0.17307877670514	5.37702021226047e-17	6.37628945524693e-17	5	86	0.233111392323484
13	1070.87506048936	888.143857757329	182.731202732028	0.983356345720255	0.815559098032442	0.167797247687813	0	0	9	13	0.205745050349666
22	1071.93973317133	890.917423327141	181.022309844191	0.984334006585245	0.818105990199395	0.16622801638585	0	0	32	22	0.203186406623591
11	1067.51101387162	888.902980357967	178.608033513656	0.9802672303688	0.816256180310346	0.164011050058454	0	0	24	11	0.200930852365609
34	919.28604661305	741.683359254578	177.602687358472	0.844156149323278	0.681068282143781	0.163087867179497	4.11808775277785e-20	4.97138521506515e-20	3	34	0.23945890809384
100	594	418.031101289179	175.968898710821	0.545454545454545	0.38386694333258	0.161587602121966	3.42895198222127e-15	4.03052250541798e-15	5	100	0.420946906027192
79	1089	923.189389668039	165.810610331961	1	0.847740486380201	0.152259513619799	7.92277517585767e-123	1.22028950984474e-122	6	79	0.179606278178287
121	1085.01121919684	922.977781717249	162.033437479589	0.996337207710595	0.847546172375802	0.148791035334793	0	0	25	121	0.175555079102899
62	1062.21156454431	901.304931223775	160.906633320534	0.975400885715619	0.827644564943778	0.14775632077184	0	0	12	62	0.178526298643522
14	1072.27144591139	912.979634425969	159.291811485416	0.984638609652328	0.83836513721393	0.146273472438399	0	0	17	14	0.174474660199369
21	1070.59335372709	911.495498453201	159.097855273886	0.98309766182469	0.83700229426373	0.146095367560961	0	0	19	21	0.174545958311229
3	1072.52484383361	913.674209062809	158.850634770798	0.984871298286141	0.839002946797805	0.145868351488336	0	0	7	3	0.173859164672862
94	1078.40486362868	924.861098751853	153.543764876826	0.990270765499246	0.849275572774888	0.140995192724358	4.38763525208764e-189	7.83924165039658e-189	5	94	0.166018189200563
81	1073.66580272606	920.212791272276	153.453011453785	0.985919010767732	0.845007154519996	0.140911856247736	1.93248945990151e-117	2.94265440485003e-117	5	81	0.166758181269815
104	1086.51470836869	936.798305257628	149.716403111058	0.997717822193467	0.860237194910586	0.137480627282881	0	0	7	104	0.159817115670255
16	1077.01529997742	927.385883573686	149.629416403735	0.988994765819486	0.851594016137453	0.137400749682034	0	0	16	16	0.161345367720216
46	1075.4193688991	926.856391628163	148.562977270939	0.987529264370158	0.85110779763835	0.136421466731808	0	0	15	46	0.16028694262977
63	1060.03312718115	912.068452934723	147.964674246426	0.973400484096556	0.837528423264209	0.135872060832347	0	0	8	63	0.162229790724947
66	1075.72037756954	928.426016859067	147.294360710473	0.987805672699302	0.852549143121274	0.135256529578028	0	0	6	66	0.158649540228073
129	467.227231866343	613.165139439872	-145.937907573529	0.429042453504447	0.563053387915401	-0.134010934410954	3.17501436797068e-10	3.51613161411629e-10	4	129	-0.312348890689823
92	330	184.48208349616	145.51791650384	0.303030303030303	0.169405035350009	0.133625267680294	8.50853511050926e-13	9.82882504145035e-13	3	92	0.788791592907553
75	1064.96486204937	919.501461950898	145.463400098475	0.977929166252868	0.844353959550871	0.133575206701997	0	0	15	75	0.158198117260027
117	1086.19090779377	941.700293452021	144.490614341747	0.997420484659108	0.864738561480277	0.132681923178831	0	0	18	117	0.153435881188996
28	1073.42346492897	931.817397734698	141.606067194268	0.98569647835534	0.855663358801376	0.130033119553965	0	0	11	28	0.151967614619044
72	1087.91131251634	946.627693409493	141.283619106849	0.99900028697552	0.869263263002289	0.129737023973231	7.16297092862852e-150	1.15643145112798e-149	6	72	0.149249404058721
95	1089	949.253802082439	139.746197917561	1	0.871674749386996	0.128325250613004	0	0	11	95	0.147216895640546
102	1081.51333232187	942.208529246512	139.304803075358	0.99312519037821	0.865205261016081	0.127919929362129	3.00737425006321e-161	5.03735186885588e-161	4	102	0.147849227375134
115	1089	949.740524905131	139.259475094869	1	0.87212169412776	0.12787830587224	0	0	14	115	0.146628970169279
58	1055.74137280496	918.914326197962	136.827046606994	0.96945947915974	0.843814808262591	0.125644670897148	0	0	15	58	0.148900765507838
4	1067.34563072797	933.352977776603	133.992652951366	0.980115363386565	0.857073441484484	0.123041921902081	0	0	11	4	0.143560535126334
128	1087.03773095533	957.947156692814	129.090574262511	0.998198100050804	0.879657627817093	0.118540472233711	0	0	10	128	0.134757510746396
73	1071.14059430656	942.836161145872	128.304433160687	0.983600178426592	0.865781598848367	0.117818579578225	0	0	25	73	0.136083487723628
126	1008.27766569125	881.372149771045	126.905515920201	0.925874807797287	0.809340817053301	0.116533990743986	3.62863126057969e-42	4.76702538154587e-42	3	126	0.143986301306624
82	1074.68753617108	949.473389564578	125.214146606504	0.986857241663069	0.871876390784736	0.114980850878333	0	0	17	82	0.131877468060402
108	1087.79831905156	964.445782276682	123.352536774881	0.998896528054695	0.885625144423032	0.113271383631663	3.7440944638781e-155	6.11839827023982e-155	7	108	0.127899918317537
107	1044.9417844038	922.288894337233	122.652890066562	0.959542501748205	0.846913585249984	0.112628916498221	3.01697280667674e-27	3.81390901976116e-27	5	107	0.132987495371179
124	1089	966.891145737432	122.108854262568	1	0.887870657242821	0.112129342757179	1.74801603148147e-134	2.75569586139432e-134	8	124	0.126290177338874
61	1084.15703490154	963.175535555361	120.981499346178	0.995552832783783	0.884458710335501	0.111094122448281	0	0	25	61	0.125606906405095
122	1088.14164578727	968.285234589469	119.856411197798	0.999211795947904	0.889150812295197	0.110060983652707	6.03139731240095e-42	7.84667223166726e-42	6	122	0.12378213249179
119	1088.19519402183	970.287242842484	117.907951179347	0.999260967880469	0.890989203712107	0.108271764168362	2.3940612807139e-272	4.64933640022699e-272	12	119	0.121518603948591
123	1080.43579155288	965.252145375219	115.18364617766	0.992135713088043	0.88636560640516	0.105770106682883	3.46673907162829e-125	5.40166320463013e-125	5	123	0.119330111546019
38	1086.45597159383	971.28530474894	115.170666844889	0.997663885761091	0.891905697657428	0.105758188103663	1.11206880935463e-61	1.5522627130575e-61	9	38	0.11857552696595
33	1070.83523353352	956.915197561633	113.920035971889	0.983319773676329	0.878710006943648	0.104609766732681	2.95259141672909e-190	5.41982534029723e-190	3	33	0.119049249361046
88	1089	977.411465376616	111.588534623384	1	0.897531189510207	0.102468810489793	2.34705537727963e-189	4.2500732507496e-189	8	88	0.114167409096626
96	1070.42016230028	958.871129570486	111.549032729791	0.982938624701815	0.880506087759859	0.102432536941957	0	0	7	96	0.116333706678349
40	1087.58744009117	976.5484293751	111.039010716075	0.99870288346297	0.896738686294857	0.101964197168113	1.09356087337885e-24	1.34437758745657e-24	22	40	0.113705585279708
130	1086.5409390125	976.536887001947	110.004052010556	0.99774190910239	0.896728087237784	0.101013821864606	3.95945374641618e-274	7.80245297087894e-274	14	130	0.112647103734379
45	1076.65669390761	967.549851078684	109.106842828925	0.988665467316445	0.888475528997873	0.100189938318572	3.14600698192663e-287	6.29201396385326e-287	8	45	0.112766120223455
50	1064.49236288357	955.79760113482	108.694761748751	0.977495282721369	0.877683747598549	0.0998115351228198	2.58519739595887e-261	4.94880644369269e-261	8	50	0.113721526000586
54	1071.89694886436	965.086878336861	106.810070527498	0.984294718883709	0.886213846039358	0.0980808728443506	5.88451046885387e-115	8.85982475085863e-115	7	54	0.110674046995193
131	1025.81142399292	921.367753745502	104.443670247419	0.941975595953096	0.846067726120755	0.0959078698323408	6.2714787233302e-55	8.48866817097219e-55	5	131	0.113357201641624
37	1016.03079355016	911.67838344265	104.352410107506	0.932994300780676	0.837170232729706	0.0958240680509701	1.04277883792019e-45	1.38348875526045e-45	4	37	0.114461867257897
27	1078.03182748936	974.00050393792	104.03132355144	0.989928216243673	0.894398993515078	0.0955292227285947	1.46400047289551e-167	2.48324130845567e-167	8	27	0.106808285140344
133	1084.559132727	980.58967979378	103.96945293322	0.995922068619835	0.900449660049385	0.0954724085704498	0	0	14	133	0.106027480276037
59	1075.18611686585	972.831100590438	102.355016275415	0.987315075175255	0.893325161240072	0.0939899139351832	0	0	14	59	0.10521355270539
53	1066.3511840369	964.318596400471	102.032587636429	0.979202189198255	0.885508352984822	0.0936938362134333	0	0	9	53	0.105807964315204
48	1074.81544274062	972.837267787524	101.9781749531	0.986974694894971	0.893330824414623	0.0936438704803488	0	0	18	48	0.10482552255119
132	1069.90087184191	967.974765357209	101.9261064847	0.982461773959513	0.88886571658146	0.0935960573780531	9.45835582453319e-87	1.37763008748636e-86	6	132	0.105298309555711
49	1086.22666538605	985.848984771327	100.377680614719	0.997453319913724	0.905279141204157	0.0921741787095672	3.42747508852838e-230	6.46875580088455e-230	14	49	0.101818515984983
32	1075.28464753837	976.305531484149	98.9791160542192	0.987405553295104	0.896515639563039	0.0908899137320655	9.16041477291058e-212	1.70485497162502e-211	11	32	0.101381291882833
118	1087.11894377849	989.816610110683	97.3023336678069	0.998272675645996	0.90892250698869	0.0893501686573066	1.78396907237937e-58	2.43930464998812e-58	13	118	0.0983033954713344
125	1083.28364595997	988.533434353452	94.7502116065226	0.994750822736432	0.90774420050822	0.0870066222282119	6.88971390625452e-144	1.09907340885489e-143	9	125	0.0958492735943666
91	1089	994.339961431011	94.6600385689893	1	0.913076181295694	0.0869238187043061	1.33349935187006e-169	2.29088350193062e-169	8	91	0.0951988678326461
44	1082.68155609999	988.690532242804	93.9910238571852	0.994197939485757	0.907888459359783	0.0863094801259736	3.61695722301785e-170	6.29444503745963e-170	10	44	0.0950661716603787
42	1072.50956785734	983.10098967381	89.4085781835304	0.984857270759725	0.902755729728017	0.0821015410317083	2.19931008551415e-80	3.16889840278383e-80	7	42	0.0909454665620828
127	1082.77265945511	993.670181702187	89.1024777529199	0.994281597295782	0.912461140222394	0.0818204570733884	2.36645056384048e-88	3.52338195060694e-88	7	127	0.0896700730218998
87	1061.02502363153	973.945102501059	87.07992113047	0.97431131646605	0.894348119835683	0.0799631966303673	8.94119134460519e-25	1.10937003720101e-24	7	87	0.0894094758594208
74	538	450.994404902569	87.0055950974311	0.494031221303949	0.414136276310899	0.0798949449930497	0.000331343654253382	0.000358064916693171	7	74	0.192919455655393
113	1084.90152912778	999.823210298078	85.0783188297062	0.996236482211005	0.918111304222294	0.078125177988711	5.5348847618008e-160	9.15647602569515e-160	12	113	0.0850933624598911
114	1017.923594714	936.274463121338	81.6491315926658	0.934732410205697	0.859756164482404	0.0749762457232926	1.78652923799336e-11	2.01172199908496e-11	8	114	0.0872064066774452
8	1066.19963978849	985.964892736572	80.2347470519222	0.97906303010881	0.90538557643395	0.0736774536748598	1.18168789344076e-22	1.43951070655511e-22	6	8	0.0813768802956349
83	1073	994.982593846929	78.017406153071	0.985307621671258	0.913666293707005	0.0716413279642526	1.35490803534463e-183	2.38891679916027e-183	12	83	0.0784108251094431
89	1030.79907363201	953.361710781415	77.4373628505994	0.946555623169894	0.875446933683577	0.0711086894863171	4.90125789114691e-52	6.56768557413686e-52	3	89	0.0812255851843771
105	1077.61114141753	1001.38421212943	76.2269292880968	0.989541911310859	0.919544731064672	0.0699971802461864	2.08825385789381e-28	2.6650096853121e-28	7	105	0.0761215609001886
70	1075.58874234332	999.86115784841	75.727584494907	0.987684795540236	0.918146150457677	0.0695386450825592	1.06068594952448e-71	1.51204167272639e-71	9	70	0.0757381001356869
109	396	322.978573440903	73.0214265590974	0.363636363636364	0.296582712066945	0.0670536515694191	0.00128551934781947	0.00137807674086247	3	109	0.22608752581062
116	1075.95268284857	1004.27441053766	71.6782723109095	0.988018992514754	0.922198724093349	0.0658202684214045	5.0454478527981e-59	6.97000012654583e-59	8	116	0.0713731939784623
90	1062.69236433948	992.877236880636	69.815127458846	0.97584239149631	0.911732999890391	0.0641093916059191	8.12165051082927e-39	1.046443431203e-38	8	90	0.070315971467114
80	825	761.772982059391	63.2270179406091	0.757575757575758	0.699516053314408	0.0580597042613491	6.74983210549001e-12	7.66506357742086e-12	3	80	0.0829998167822665
93	557	495.267864053218	61.7321359467818	0.51147842056933	0.454791427046114	0.0566869935232156	0.00796976071204445	0.00847577726519013	4	93	0.124643935993693
78	858.243148259346	798.244827828706	59.9983204306391	0.788102064517305	0.733007188088803	0.0550948764285024	0.0291143420602147	0.0300101679697598	7	78	0.075162805118123
111	528	474.590227689292	53.4097723107078	0.484848484848485	0.435803698520929	0.0490447863275554	0.0207535306965716	0.0215579311111674	4	111	0.112538710648874
55	264	214.115609478502	49.8843905214983	0.242424242424242	0.196616721284207	0.0458075211400352	0.0194194705383809	0.0204898350562444	5	55	0.232978766204837
106	916.715975238853	866.942655183854	49.7733200549992	0.84179612051318	0.796090592455329	0.0457055280578504	1.13160745835959e-14	1.3185686906103e-14	5	106	0.0574124710064523
112	923.565859674606	875.990575528017	47.5752841465894	0.848086188865571	0.804399059254377	0.0436871296111933	1.95676237691961e-17	2.3411264152431e-17	5	112	0.0543102693974915
69	999.711630920239	957.005458885185	42.7061720350544	0.918008843820238	0.878792891538278	0.03921595228196	1.29625051970555e-09	1.42375057082413e-09	9	69	0.0446247946012792
52	1031.99569435043	991.635313767552	40.3603805828765	0.947654448439329	0.910592574625852	0.037061873813477	2.39333665998675e-12	2.74108643109594e-12	7	52	0.0407008302573795
71	1023.45014551063	991.666510069033	31.7836354415957	0.939807296153011	0.91062122136734	0.029186074785671	2.8685713712493e-11	3.20323803122839e-11	8	71	0.0320507298763
76	979.825124433147	952.387643165829	27.4374812673176	0.899747589011154	0.874552473063204	0.0251951159479501	1.71337725894947e-09	1.86660611950593e-09	8	76	0.0288091529370464
98	627	604.919381118842	22.0806188811575	0.575757575757576	0.555481525361655	0.0202760503959206	0.0200057130554797	0.0209434808549553	4	98	0.0365017547302227
77	996.913062938426	991.068933768804	5.84412916962208	0.915438992597269	0.910072482799637	0.00536650979763265	1.29149963748055e-26	1.61739206936817e-26	8	77	0.00589679382583141
