Compare	Distance_Mean	Distance_SD	Distance_PM_Mean	Distance_PM_SD	N	p
arabidopsis_thaliana_rhizoplane_arabidopsis_thaliana_rhizoplane	23.5466874285906	7.02402422477132	22.4147820424417	6.96959585876215	4601025	0.453905933154909
arabidopsis_thaliana_rhizoplane_arabidopsis_thaliana_rhizosphere	98.9731474929588	10.396053024221	34.7856728504401	10.2375575481937	1185921	6.74580621659772e-06
arabidopsis_thaliana_rhizoplane_arabidopsis_thaliana_root	28.2065254720216	7.87571115155946	22.4464833115164	6.78484990648113	1185921	0.292283134978523
arabidopsis_thaliana_rhizoplane_CAS	79.5748830684438	11.643805058444	36.2583440512688	11.0315491918519	1185921	0.00455426242198053
arabidopsis_thaliana_rhizoplane_chlamydomonas_reinhardtii_phycosphere	57.2079888303022	10.1797848302723	26.9191568713677	9.72353186821321	1185921	0.0236145378869774
arabidopsis_thaliana_rhizoplane_lotus_japonicus_rhizosphere	51.6677442256659	14.4073789757788	27.3444032042197	8.83700583039252	1185921	0.0710763439754048
arabidopsis_thaliana_rhizoplane_lotus_japonicus_root	43.7509769521395	8.59214805113562	26.3524510674039	8.32208691215714	1185921	0.0775143727833702
arabidopsis_thaliana_rhizosphere_arabidopsis_thaliana_rhizosphere	29.086086915835	10.1407105440631	29.0561072399165	9.21689318791662	4601025	0.51124357914952
arabidopsis_thaliana_rhizosphere_arabidopsis_thaliana_root	83.240613372232	12.3256994008603	37.6634214969085	12.3422749363947	1185921	0.0104441944748474
arabidopsis_thaliana_rhizosphere_CAS	42.4143824023908	10.1348882203017	28.6193257009022	9.04273847281263	1185921	0.155844144893172
arabidopsis_thaliana_rhizosphere_chlamydomonas_reinhardtii_phycosphere	143.532550550373	11.5015589244222	34.226681797481	9.97631547308428	1185921	8.43225777074715e-07
arabidopsis_thaliana_rhizosphere_lotus_japonicus_rhizosphere	72.6436075908334	10.9582069497807	32.7921882626719	8.96173137241228	1185921	0.00235850249847798
arabidopsis_thaliana_rhizosphere_lotus_japonicus_root	128.214702822965	10.1603385474949	41.3894732870357	14.2801931657824	1185921	2.3610321758092e-05
arabidopsis_thaliana_root_arabidopsis_thaliana_root	21.279587024411	6.55417290018708	20.992978549556	5.70716944190081	4601025	0.4944412398452
arabidopsis_thaliana_root_CAS	71.7311218975848	12.9211104665346	45.2855380363034	20.6020855864756	1185921	0.134247446290734
arabidopsis_thaliana_root_chlamydomonas_reinhardtii_phycosphere	66.8826863990913	9.55573833554029	31.6422161354469	14.0214798743156	1185921	0.0356498994031648
arabidopsis_thaliana_root_lotus_japonicus_rhizosphere	57.2600513994458	16.5428659059207	28.0592893310601	8.89329472655319	1185921	0.0543028968178346
arabidopsis_thaliana_root_lotus_japonicus_root	54.1196260455332	9.97804853906458	24.8127907070664	7.49157760556836	1185921	0.00917345322879582
CAS_CAS	25.4975622202989	7.72786052409337	24.1185884495358	9.32580389176464	4601025	0.423494455367129
CAS_chlamydomonas_reinhardtii_phycosphere	128.113318104574	10.2101772874482	30.5487933950212	8.51940791515986	1185921	8.43225777074715e-07
CAS_lotus_japonicus_rhizosphere	46.5376170982989	10.5672717497237	34.5722236792992	10.5812147069379	1185921	0.201932336190744
CAS_lotus_japonicus_root	108.249373598662	10.1982462628793	40.8744413305628	15.4384843899148	1185921	0.00158695091245461
chlamydomonas_reinhardtii_phycosphere_chlamydomonas_reinhardtii_phycosphere	12.597926212008	4.00110620093075	13.9989228603075	4.63403379408417	4601025	0.588772591156842
chlamydomonas_reinhardtii_phycosphere_lotus_japonicus_rhizosphere	100.990306880332	13.4308112034597	31.6626266029394	10.8318062939474	1185921	3.37290310829886e-06
chlamydomonas_reinhardtii_phycosphere_lotus_japonicus_root	32.5766476177135	12.5600384361363	33.2495131881462	15.1085883164013	1185921	0.483720683147796
lotus_japonicus_rhizosphere_lotus_japonicus_rhizosphere	26.4404051283487	11.5664915560277	25.9249424913143	10.4476442652554	4601025	0.497865476091637
lotus_japonicus_rhizosphere_lotus_japonicus_root	84.5697192534326	13.6788318929804	27.6222118167841	9.13176898779642	1185921	0.00017707741318569
lotus_japonicus_root_lotus_japonicus_root	23.4954345382294	9.75913115726122	25.116342461438	11.0166193730396	4601025	0.535494909178953
