Group	Accu_BS	Accu_PM	Accu_Diff	Avg_BS	Avg_PM	Diff	P_value	FDR
59	1059.30618359473	960.894154644891	98.4120289498426	0.972732950959351	0.882363778369964	0.0903691725893871	0	0
47	1056.02647275244	959.49314334508	96.5333294073571	0.969721278927858	0.881077266616235	0.0886440123116227	0	0
82	1066.09024860577	970.792858275829	95.2973903299422	0.97896257906866	0.891453497039328	0.0875090820293317	0	0
21	1066.29983940541	971.033640607094	95.2661987983121	0.979155040776314	0.891674601108442	0.0874804396678714	0	0
23	1074.18319570603	983.408760183927	90.7744355221058	0.986394119105631	0.903038347276333	0.0833557718292983	0	0
18	1067.87974057711	978.440650372725	89.43909020439	0.980605822384862	0.898476262968526	0.082129559416336	0	0
10	1071.21842694791	982.158251296168	89.0601756517394	0.983671650089905	0.901890037921182	0.0817816121687229	0	0
8	1063.29724861151	975.239347703123	88.0579009083846	0.976397840781917	0.895536591095613	0.0808612496863035	2.54526642446285e-149	4.87236715540031e-149
7	1074.39855953754	989.860195603725	84.538363933811	0.986591882036305	0.908962530398278	0.0776293516380265	3.00660525211961e-304	7.32518370516414e-304
39	1071.9071595673	987.866977370258	84.0401821970413	0.984304095103121	0.907132210624663	0.0771718844784585	0	0
29	1064.70565702559	980.754421439561	83.9512355860332	0.977691145110739	0.900600937961029	0.0770902071497093	0	0
63	1062.08599240773	978.516312529115	83.569679878614	0.975285576131983	0.898545741532705	0.0767398345992782	3.49967041951433e-293	8.22729537219158e-293
72	1066.65578316795	984.620964628372	82.0348185395773	0.979481894552755	0.904151482670682	0.0753304118820728	1.10239762534801e-11	1.28453288518812e-11
50	1052.73285224664	970.881738802181	81.8511134444602	0.966696834018954	0.89153511368428	0.0751617203346742	9.65592852145537e-290	2.23085245150865e-289
121	1072.31647145297	990.952886201735	81.3635852512308	0.984679955420538	0.909965919377168	0.0747140360433707	0	0
33	1076.16539380798	995.399988296451	80.7654055115239	0.988214319382897	0.914049576029799	0.0741647433530981	1.07454880043136e-255	2.32241192351294e-255
57	1062.4984188259	983.896424077802	78.6019947480974	0.975664296442516	0.903486156177964	0.0721781402645522	0	0
105	1071.53459703794	993.281588339815	78.253008698121	0.983961980751089	0.912104305178894	0.0718576755721956	7.42884526169229e-96	1.22896946304539e-95
78	1072.49201420603	994.392464100838	78.0995501051882	0.984841151704339	0.913124393113717	0.0717167585906227	1.17432355005253e-244	2.45873993292248e-244
107	1045.31839571148	967.453309481034	77.8650862304456	0.959888333986667	0.888386877393053	0.071501456593614	1.06757959014281e-15	1.27728272392086e-15
96	1070.00679148707	992.317853104504	77.6889383825689	0.982559037178212	0.911219332511023	0.0713397046671891	3.93219401076546e-285	8.93074571936562e-285
127	1083.10111790414	1006.30386326938	76.7972546347523	0.994583212033182	0.924062317051775	0.0705208949814071	2.01819106430539e-59	3.10847819099911e-59
117	1077.09733683676	1004.03762221205	73.0597146247062	0.98907009810538	0.921981287614374	0.0670888104910067	5.95102364190742e-275	1.32906194669266e-274
118	1087.07965756443	1016.58438223881	70.4952753256225	0.998236600150995	0.93350264668394	0.0647339534670546	9.3995106905761e-36	1.29848910570845e-35
70	1073.69690446168	1003.40743387501	70.2894705866623	0.985947570671878	0.921402602272739	0.0645449683991389	1.63075312966719e-213	3.36186029808313e-213
124	1085.53594485185	1015.33504212716	70.2009027246919	0.996819049450732	0.932355410585083	0.0644636388656491	1.91319302275391e-135	3.46443060877059e-135
3	1063.84928365653	995.320567338909	68.5287163176184	0.976904760015177	0.913976645857584	0.0629281141575926	1.59776927946274e-270	3.50985382701651e-270
61	1077.41743537124	1009.98125889283	67.4361764784105	0.989364036153574	0.927439172537035	0.0619248636165387	0	0
38	1084.16594804391	1017.98586898707	66.1800790568338	0.995561017487519	0.934789595029453	0.060771422458066	6.20123404438478e-23	7.69412372173667e-23
128	1082.97534965477	1017.62928605053	65.3460636042439	0.994467722364347	0.934462154316373	0.0600055680479742	7.40654453856076e-143	1.37844023356547e-142
88	1081.6093634536	1017.43531887955	64.1740445740485	0.993213373235629	0.934284039375162	0.0589293338604668	2.03328789213333e-30	2.67118213280261e-30
27	1063.22030391841	1001.62755905037	61.5927448680434	0.976327184498085	0.919768190128899	0.0565589943691859	2.83949627078801e-57	4.32377841233629e-57
92	66	127.591274533088	-61.5912745330885	0.0606060606060606	0.117163704805407	-0.0565576441993466	2.44055031750881e-06	2.68060444709984e-06
73	1070.26633523598	1008.82867221714	61.4376630188452	0.982797369362702	0.926380782568538	0.0564165867941646	0	0
133	1077.39605442726	1016.08566613878	61.3103882884774	0.9893444025962	0.933044688832677	0.0562997137635238	6.68123947379231e-248	1.4210890309336e-247
91	1079.18381061478	1018.1146711788	61.0691394359844	0.990986051987861	0.9349078706876	0.0560781813002612	2.25208123540357e-140	4.13395733622025e-140
104	1076.97457591802	1017.01120915982	59.9633667582021	0.988957369989001	0.933894590596712	0.0550627793922885	1.63693422283355e-73	2.64276127541802e-73
49	1079.87854234796	1020.00439659692	59.8741457510353	0.991624005829161	0.936643155736383	0.0549808500927779	4.717863698265e-163	9.16222805170304e-163
120	952.187622253608	892.418648359293	59.7689738943153	0.874368799130953	0.819484525582454	0.0548842735484989	8.22424090891202e-07	9.18373568161842e-07
95	1072.80945730558	1013.38868285564	59.4207744499388	0.98513265133662	0.930568120161286	0.054564531175334	3.48149791968228e-174	6.86059884172685e-174
115	1079.47606512315	1020.2565761605	59.2194889626502	0.99125442160069	0.936874725583564	0.054379696017126	9.72603944615182e-191	1.94520788923036e-190
